age,vision,hearing,smell,taste,touch,motor_development,cognitive_development,language_development,social_development,fine_motor_skills,gross_motor_skills
0~1,20~30cm 거리에 있는 물체를 잘 볼 수 있고 천천히 움직이는 물체에 시선을 고정하거나 45~90도 내에서 따라볼 수 있음,사람의 말소리를 구분할 수 있으며 생후 2~3주가 되면 낯선 사람의 목소리와 엄마의 목소리를 구별할 수 있음,태어날 때부터 발달되어 있으며 젖 냄새를 구분할 수 있음,입술 주위와 혀의 감각이 발달하여 신맛을 구분할 수 있음,초기에 주위 환경을 감지하기 위해 주로 촉각을 사용하며 입 주위·손바닥·발바닥 주변의 촉각에 반응을 보임,출생 시 고개를 가눌 수 없음; 손은 가볍게 주먹을 쥐고 있으며 다리는 개구리같이 무릎을 가볍게 구부릴 수 있음; 배는 볼록하게 약간 부풀어 있고 사지는 굽어 있음,뇌의 발달이 미숙한 상태; 손에 닿는 것을 무조건 입으로 가져가서 빨기도 하고 눈에 보이는 물건에는 관심을 두지만 눈에서 사라지게 되면 더 이상 관심을 두지 않음(대상영속성 개념 미발달),울음이 유일한 의사소통 수단; 초기에는 울음의 이유를 정확히 구분할 수 없는 미분화된 울음이나 시간이 지나면 분화된 울음의 특성을 보여 우는 이유를 이해할 수 있게 됨,생후 1개월 이내 주변 환경을 느낄 수 있음; 따뜻하고 우호적인 환경인지 혹은 냉담하고 적대적인 환경인지 느낄 수 있음; 주위 사람들에게 반응을 나타냄,손을 입으로 가져감; 팔을 움직임; 장난감을 향해 팔을 휘두를 수 있음; 손이 점점 펴지기 시작함,등을 대고 누운 자세에서 머리를 양쪽으로 돌림; 배를 대고 누운 자세에서 머리를 들고 양쪽으로 돌림; 끌어 앉힐 때 머리가 뒤로 처짐(head lag); 등을 대고 누운 자세에서 양 다리를 차고 양팔을 동일하게 움직임; 바닥에서 정기적으로 배 엎드리기(tummy time) 실시
1~3,시력이 발달해 장난감의 움직임을 눈으로 좇을 수 있으며 30cm 범위 내에 있는 물체는 비교적 뚜렷하게 볼 수 있음; 누운 자세에서 천천히 움직이는 물체를 180도 따라 볼 수 있으며 모빌을 달아주면 쳐다보게 됨; 눈동자를 유연하게 움직일 수 있고 눈을 깜박거릴 수 있음,주양육자의 목소리를 구분하여 반응하며 주양육자가 어르는 소리에 얌전해지고 옹알이를 함; 여러 가지 소리에 대한 반응이 활발해지고 소리 구분이 가능하여 소리가 나는 쪽으로 고개를 돌리기도 함; 초인종 소리와 전화벨 소리도 구별하여 들을 수 있음,냄새가 나는 쪽으로 고개를 돌릴 만큼 후각이 민감함,생후 2~3개월에는 미각에 대한 발달이 더욱 이루어져 특정한 맛을 선호할 정도의 발달이 이루어짐,피부 촉각이 발달해 기저귀가 젖으면 보채기도 함,꼭 오므리고 있던 아기의 손이 차츰 펴지기 시작하며 손가락을 빨기도 함; 팔과 다리 운동이 활발해짐; 발을 힘차게 차기도 하며 엎드린 자세에서 머리를 좌우로 돌릴 수도 있음; 초기에는 아직 완전하게 목을 가누지 못하는 상태이나 이 후 차츰 목을 가누기도 함; 개구리처럼 구부리고 있어 안짱다리 같아 보이던 다리가 곧게 펴지기 시작하며 엉덩이와 무릎관절이 유연해지면서 발차는 힘이 강해짐; 움직이는 물체를 향해 팔을 휘젓기도 하는 등 움직임이 활발해짐; 3개월 정도부터 엎드린 상태에서 바로눕기 뒤집기를 먼저 시도할 수 있음,얼굴에 주의를 기울이는 시기; 눈으로 사물을 따라가기 시작하고 멀리서도 사람을 인식할 수 있음; 활동이 바뀌지 않으면 지루해하여 울음 등의 반응이 나타날 수 있음; 이 시기의 영아는 우연히 했던 행동을 통해서 새로운 경험을 하게 되고 그 행동을 반복하기도 함(예: 우연히 자신의 손가락을 입에 넣는 새로운 경험이 재미있다면 계속 시도하게 됨),기분이 좋을 때는 입을 오물거리며 옹알이를 함; 주양육자가 아기의 옹알이를 응답해 주면 더욱 신이 나서 알 수 없는 말을 옹알거리거나 기뻐서 크게 웃기도 함; 주양육자 얼굴을 보고 웃는 사회적 미소가 나타나기도 하며 소리가 나는 쪽으로 머리를 돌림; 구르르 하면서 목을 울리는 소리를 냄,손을 입으로 가져가서 손을 빠는 행위를 통해 잠깐 스스로를 달랠 수 있음; 사람들에게 미소를 짓기 시작하며 부모를 보려고 노력함; 부모의 목소리에 쳐다봄,손을 입으로 가져감; 팔을 움직임; 장난감을 향해 팔을 휘두를 수 있음; 손이 점점 펴지기 시작함,끌어 앉힐 때 머리가 몸통과 일직선이 됨; 배 엎드린 자세에서 팔뚝으로 몸을 올리고 머리를 좌우로 돌림; 배 엎드리기를 잘 견딤; 배에서 등으로 뒤집기 가능
4~6,눈을 맞추고 색깔을 구별할 수 있을 정도로 시력이 발달해 색깔이 있는 장난감에 관심을 보이기 시작함; 작은 물체나 먼 곳의 물체도 알아볼 수 있을 정도로 시력이 발달해 새로운 물건이 나타나면 쳐다봄,엄마의 화난 목소리·상냥한 목소리도 구분할 수 있어 화난 목소리를 들으면 울기도 함; 양쪽 귀에 다른 소리가 나는 장난감을 대고 번갈아 소리를 내면 천천히 고개를 돌려 장난감을 쳐다봄; 자신의 이름에 반응하기도 함,보호자의 냄새로 수유를 예상함; 불쾌한 냄새에 대한 정상적인 반응을 보임,다른 사람들이 먹는 음식의 냄새와 모양에 관심을 보이기 시작함,손가락으로 물건을 잡고 모든 것을 입에 넣으려고 함; 6개월이 되면 물체를 탐색하고 사물을 이해하는 데 촉각을 사용함,목을 완전히 가눌 수 있어 잠깐 동안 앉아있을 수 있고 엎어두었을 때 허리까지 상체를 들어올릴 수 있음; 팔을 뻗어 스스로 물건을 잡으려 하고 장난감을 양손으로 잡고 놀 수 있음; 손에 잡히는 모든 것을 입으로 가져가 빠는 모습을 볼 수 있음; 바로 눕혀놨을 때 뒤집기를 시작함; 다리에 힘을 주기 시작하여 일으켜 세워주면 다리에 힘을 기를 수 있음; 6개월이 되면 서서히 기려는 시도를 함,가까이 있는 것들을 둘러보기도 하며 물건을 입으로 가져감; 사물에 관한 호기심을 보이고 손이 닿지 않는 물건을 가지려고 시도함; 물건을 한쪽 손에서 다른 쪽 손으로 건네기 시작함; 눈을 좌우로 굴려서 움직이는 사물을 따라가기도 하며 친숙한 사람과 사물을 멀리서 인식함; 엄마와 함께 거울을 볼 때 거울에 비친 엄마와 자신의 얼굴을 구별할 수 있는 능력이 생겨 거울 보는 것을 좋아함,소리를 낼 수 있음; 소리를 냄으로써 소리에 반응함; 옹알이할 때 모음을 연결하고 아·에·오 소리를 낼 때는 부모와 교대하며 소통하길 좋아함; 자기 이름에 반응을 보이며 기쁨과 불만을 보여주는 소리를 냄; 자음 소리를 말하기 시작함,불만스러우면 물어버리고 즐거우면 환하게 웃는 등의 감정표현이 풍부해지고 기뻐서 끼룩거릴 때도 있음; 다른 사람들의 감정에 반응하고 종종 행복해 보임; 낯가리기가 시작되어 가족들의 얼굴을 알고 낯선 사람을 분간하기 시작하며 특히 부모와 놀기를 좋아함; 거울 속의 자기 모습을 보고 미소 짓기도 하고 환경이 바뀌면 표정이 긴장되어 보이기도 함,손에 작은 물건을 쥘 수 있음(엄지손가락이 손 안에 끼지 않은 상태); 양손을 모을 수 있음; 양팔로 장난감에 손을 뻗음; 딸랑이를 잠깐 쥘 수 있음; 눈으로 사물을 모든 방향으로 따라갈 수 있음,등에서 배로 뒤집기 가능; 등을 대고 누운 자세에서 발을 입으로 가져감; 배 엎드린 자세에서 팔을 뻗어 손으로 몸을 받침; 배 엎드린 상태에서 원을 그리며 피벗 가능
7~9,가까운 물체와 먼 물체 모두에 초점을 맞출 수 있음; 다양한 자세로 주변 환경을 관찰함,친숙한 목소리와 낯선 목소리를 구분할 수 있음; 자주 사용되는 단어를 인식함,근처에 있는 음식을 보고 손을 뻗기 시작함; 익숙한 냄새에 연상을 형성하기 시작함,새로운 맛에 강한 반응을 보이기 시작함; 익숙한 맛에 대한 연상을 형성하기 시작함,"장난감과 그 주변 환경의 모양, 크기, 질감을 탐구함; 손, 입, 얼굴을 사용하여 사물을 탐색함",아기의 미세한 운동능력이 점점 좋아짐; 한손으로 물건을 집어 들고 한손에서 다른 손으로 물건을 전달할 수 있으며 두 손을 서로 맞잡을 수도 있음; 7개월이 되면 많은 아이들이 지지없이 앉을 수 있음; 배밀이를 시작하기도 하며 세우면 다리를 뻗어 몸을 지탱함; 8개월이 되면 가구 등을 붙잡고 일어서며 걷기도 함; 발달이 빠른 아기는 어른의 손을 잡고 한두걸음 뗄 수 있는데 이때 넘어지거나 안전사고가 흔히 발생하여 주의가 필요함,기억력이 좋아져 어른의 간단한 행동을 따라 하거나 가려진 물건을 탐색하는 것을 즐겨함; 물건을 주고받거나 물건을 넣었다 꺼내는 등의 놀이를 좋아함; 손가락으로 물건을 가리킬 수 있고 가족의 얼굴을 기억할 수 있음,여러 음절의 모음 소리를 내기 시작하며 옹알이를 함; 빠빠 같은 반복되는 자음을 말하고 소리를 따라하기도 함; 주의를 끌기 위해 소리를 내기도 하며 얼굴표정을 사용하여 의사소통하기도 함; 이름을 부르면 대답하기도 하며 가족 구성원의 이름을 인식할 수도 있음; 9개월이 되면 단어의 의미를 이해하기 시작함,엄마를 더 좋아하며 낯선 사람을 두려워할 수 있음; 상대방의 감정 변화에 반응함; 가지고 놀던 장난감을 빼앗으려 하면 반항하고 고집을 피우기 시작; 호기심이 왕성해지고 다른 사람의 행동을 흉내 내기를 좋아함; 특히 까꿍·짝짜꿍·바이바이 놀이를 함,딸랑이를 흔들고 두드림; 장난감을 입으로 가져감; 긁어 잡기를 사용함; 물건을 한 손에서 다른 손으로 옮김; 손이 대부분 펴져 있고 이완된 상태; 작은 음식(예: 시리얼)을 집기 시작함,혼자 앉을 수 있음; 앉은 자세에서 장난감에 손을 뻗어 놀 수 있음; 앉은 자세에서 균형을 잃을 때 스스로 버팀; 배로 기기(belly crawl) 가능
10~12,"앉거나 선 자세에서 넘어지지 않고 주변을 둘러볼 수 있음; 멀리 있는 물체도 감지할 수 있으며, 물체를 향해 기어가거나 멀어질 수 있음",익숙한 소리와 단어를 많이 이해함; 노래하는 것을 즐김; 멀리서 들려오는 소리를 향해 기어가거나 소리가 나는 곳에서 멀어지려고 기어감,더욱 다양한 향을 즐김,"더욱 다양한 맛을 즐김; 치아가 더 많고 혀와 입술을 더 잘 조절할 수 있음; 부드럽게 익힌 채소, 부드러운 과일, 손으로 집어 먹을 수 있는 음식을 먹어볼 준비가 됨","작은 물체와의 상호작용을 증가시킴; 음식, 담요, 진흙, 물감 등 다양한 질감을 즐김; 손가락과 입으로 장난감을 탐색함",혼자 일어나며 손을 잡거나 가구를 잡고 걸을 수 있음; 빠른 아이들은 혼자 걷기도 함; 도움 없이 앉는 자세를 취할 수 있음,기억력이 좋아져 자주 만나는 사람을 며칠이 지나도 알아볼 수 있음; 가족을 잘 알아보며 칭찬과 꾸중을 구별할 수 있음; 엄지와 검지로 작은 물건을 잡을 수 있게 되고 손으로 탐색하는 것에 호기심을 보임; 혼자서 컵을 들고 마실 수 있으며 쥐고 있던 물건을 달라고 하면 손을 펴서 놔 줄 수 있음; 흔들기·치기·던지기 등 다양한 방법으로 사물을 탐색하기도 하며 물건을 용기에 넣고 꺼낼 수 있음,'마마 빠빠' 이외에 다른 말 몇 개 정도를 할 수 있음; 색깔이 있고 선명한 그림에 관심을 보임; 말로 하는 간단한 요청에 반응함; 머리를 젓는 아니오 또는 손을 흔드는 바이바이와 같은 간단한 제스처를 사용함; 엄마와 아빠 같은 단어 및 어-오 같은 감탄사를 말하며 부모나 보호자가 말하는 단어들을 말하려고 시도함,간단한 공 놀이를 할 수 있고 옷을 입힐 때 자세를 맞출 수 있음; 낯선 사람에 대해 수줍어하거나 불안해함; 엄마나 아빠가 떠날 때 울기도 함; 가장 좋아하는 물건이나 사람이 있음; 관심을 끌려고 소리나 행동을 반복하기도 하며 이야기를 듣고 싶을 때 책을 건네기도 함,물건을 의도적으로 놓을 수 있음; 양손으로 장난감을 맞부딪힘; 책 페이지를 여러 장씩 넘김; 물건을 그릇에 넣기 시작함; 물건을 손가락으로 가리킴; 블록 2개를 쌓음,누운 자세에서 앉은 자세로 혼자 이동 가능; 손과 무릎으로 기기 가능; 한쪽 발을 앞으로 하여 서는 자세로 일어섬; 가구를 잡고 이동(cruising); 두 손을 잡아줄 때 걸음
13~24,깊이와 공간을 인식하여 물건을 정확하게 뻗어 잡을 수 있음,"간단한 지시를 따르고, 알아보는 사물이나 사람의 이름을 말하기 시작함","냄새와 맛, 장소를 연결짓기 시작함","좋아하는 음식과 싫어하는 음식이 생기고, 편식이 나타나기도 함","모래, 물, 점토 같은 감각 놀이를 즐기기 시작함",혼자 걸을 수 있음; 걸어서 계단을 오르거나 달릴 수도 있으며 장난감을 끌고 걸어 다님; 스스로 옷 벗는 것을 도울 수 있고 컵으로 마실 수 있으며 숟가락으로 먹을 수 있음,일상적인 물건의 용도를 알 수 있으며 동물과 사물을 인지해 멍멍·빠방 등으로 사물을 지칭할 수 있음; 다른 사람의 관심을 끌려고 가리키기도 함; 음식을 먹여주는 척하면서 인형이나 동물 봉제완구에 대한 관심을 보임; 몸의 한 부위를 가리키기도 하며 혼자 힘으로 끄적거림; 제스처 없이 한마디의 말로 하는 명령어를 따를 수 있음(예: 앉아라고 하면 앉음),몇 가지의 낱말을 말함; 아니요를 말하며 머리를 젓기도 함; 다른 사람에게 자기가 원하는 것을 가리켜 보여줌; 지적 호기심이 늘어나 질문을 많이 함,놀이로서 물건을 다른 사람에게 건네주기 좋아함; 성질을 부릴 수도 있으며 친근한 사람에게 애정을 보임; 인형에게 음식을 먹여주는 것 같이 간단한 시늉 놀이를 함; 새로운 상황에서 돌보는 사람에게 매달릴 수도 있음; 다른 사람에게 흥미로운 것을 가리켜서 보여주기도 하며 부모가 곁에 있을 경우 혼자서 탐색함,그림 그리기를 좋아하며 손가락으로 크레파스를 잡을 수 있음; 블록을 쌓을 수 있는 손 조절 능력이 있음; 신발끈에 구슬을 꿸 수 있음,계단을 기어오를 수 있음; 지지 없이 바닥에서 혼자 일어날 수 있음; 혼자서 잘 걸을 수 있음; 지지 없이 쪼그려 앉았다가 다시 일어날 수 있음
25~36,"그림과 실물을 연결할 수 있고, 색깔을 구분하며 글자와 숫자를 인식하기 시작함","간단한 대화를 나누고, 질문을 하며, 운율 게임을 즐김",냄새와 기억이 연결되기 시작하여 특정 냄새가 감정 반응이나 기억을 불러일으키기도 함,새로운 음식을 계속 탐색하며 특정 맛에 대한 선호도가 생기기 시작함,블록 쌓기나 구슬 꿰기처럼 더 세밀한 감각 활동이 가능해지고 소근육이 발달함,혼자서 가구 위에 올라갔다가 내려옴; 발로 공을 차기도 하며 발 끝으로 서기도 함; 붙잡고 계단을 오르내리기도 하며 달리기도 함; 세발자전거 페달을 밟음,물건을 가려놓아도 찾아내며 지시사항을 따르기도 함; 책에 있는 동물 등의 이름을 부르기도 하며 소리를 내기도 함; 도형과 색깔을 분류할 수 있음; 버튼·레버 및 움직이는 부품이 있는 장난감을 다룰 수 있음; 인형·동물·사람을 가지고 지어내기 놀이를 함; 셋이나 네 조각으로 된 퍼즐 맞추기를 함; 연필이나 색연필로 원을 보고 따라 그림; 병 뚜껑을 돌려서 열고 닫으며 문손잡이를 돌림,사물의 이름을 부르면 가리키기도 하고 책에 있는 것들을 가리키기도 함; 익숙한 사람과 신체 부위에 대해 이름을 알 수 있으며 2~4개 단어로 문장을 말함; 안에·위에·아래에와 같은 단어를 이해함; 이름·나이·성별을 말할 수 있음; 친구의 이름을 말할 수 있음,자신보다 나이가 많은 아이의 행동을 모방함; 하지 말라는 행동에 대하여 반항을 보이기도 하며 더욱 큰 독립심이 생김; 유도하지 않아도 친구들에게 애정을 보임; 게임에서 차례를 기다림; 내 것과 그의 것 또는 그녀의 것이라는 개념을 이해함; 다양한 감정을 보임; 스스로 옷을 입고 벗음,원이나 십자 모양을 따라 그릴 수 있음; 마카로니 목걸이 만들기 등 시작 가능; 가위질을 시작함,걷기와 달리기가 능숙해짐; 두 발로 제자리에서 점프할 수 있음; 혼자 계단을 오르내릴 수 있음; 발로 공을 찰 수 있음
